Player,Rk,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,All-Star
Derek Harper,152,PG,37,LAL,45,29,24.9,2.7,6.5,0.412,1.0,2.6,0.368,1.7,3.9,0.443,0.486,0.6,0.7,0.813,0.3,1.2,1.5,4.2,1.0,0.1,1.2,1.5,6.9,1998-1999,False
Derek Hood,178,PF,23,CHH,2,0,2.0,0.0,1.5,0.0,0.0,0.0,,0.0,1.5,0.0,0.0,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1999-2000,False
Derek Strong,389,PF,32,LAC,28,8,17.5,1.6,4.2,0.385,0.0,0.0,0.0,1.6,4.1,0.388,0.385,1.0,1.3,0.757,1.2,2.6,3.9,0.3,0.5,0.0,0.8,1.1,4.2,2000-2001,False
Derrick Brown,65,SF,24,CHA,65,17,22.2,3.3,6.3,0.518,0.1,0.4,0.25,3.2,5.9,0.535,0.526,1.4,2.2,0.667,1.5,2.2,3.6,1.0,0.7,0.2,0.8,1.5,8.1,2011-2012,False
Derrick Byars,74,PF,27,SAS,2,0,18.5,1.5,5.5,0.273,0.0,3.0,0.0,1.5,2.5,0.6,0.273,2.0,2.0,1.0,3.0,2.5,5.5,0.5,1.0,0.0,0.0,1.0,5.0,2011-2012,False
Derrick Caracter,76,C,22,LAL,41,0,5.2,0.8,1.6,0.485,0.0,0.0,,0.8,1.6,0.485,0.485,0.4,0.6,0.739,0.5,0.6,1.0,0.2,0.1,0.2,0.5,1.1,2.0,2010-2011,False
Derrick Coleman,85,C,37,DET,5,0,10.0,0.6,2.8,0.214,0.0,0.4,0.0,0.6,2.4,0.25,0.214,0.6,0.6,1.0,0.6,2.4,3.0,0.0,0.0,0.0,0.4,1.2,1.8,2004-2005,False
Derrick Dial,107,SG,28,ORL,9,0,9.6,1.0,3.1,0.321,0.2,1.0,0.222,0.8,2.1,0.368,0.357,0.7,0.9,0.75,0.6,0.9,1.4,0.2,0.7,0.0,0.1,0.7,2.9,2003-2004,False
Derrick Favors,166,C,30,OKC,39,18,16.7,2.4,4.7,0.516,0.1,0.4,0.125,2.4,4.3,0.554,0.522,0.4,0.6,0.64,1.5,3.2,4.7,0.6,0.4,0.3,0.2,1.6,5.3,2021-2022,False
Derrick Jones Jr.,293,PF,24,CHI,51,8,17.6,2.1,3.8,0.538,0.4,1.2,0.328,1.7,2.6,0.634,0.59,1.1,1.4,0.8,1.2,2.1,3.3,0.6,0.5,0.6,0.6,2.1,5.6,2021-2022,False
Derrick McKey,264,SF,35,PHI,41,1,19.1,1.3,3.0,0.426,0.1,0.3,0.417,1.1,2.7,0.427,0.447,0.2,0.3,0.714,1.2,1.9,3.1,1.1,1.0,0.1,0.5,2.2,2.9,2001-2002,False
Derrick Walton,566,PG,26,DET,3,3,36.0,2.0,8.7,0.231,1.0,4.3,0.231,1.0,4.3,0.231,0.288,1.3,1.3,1.0,0.7,2.7,3.3,7.0,2.3,1.3,3.7,2.7,6.3,2021-2022,False
Derrick White,578,SG,27,TOT,75,52,29.3,4.5,10.7,0.421,1.5,4.9,0.312,3.0,5.7,0.515,0.493,2.7,3.1,0.864,0.5,3.0,3.5,4.9,0.9,0.8,1.6,2.3,13.2,2021-2022,False
Derrick Williams,519,PF,26,LAL,2,0,4.5,0.5,2.0,0.25,0.0,1.0,0.0,0.5,1.0,0.5,0.25,0.0,0.0,0.652,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,2017-2018,False
Derrick Zimmerman,458,PG,24,NJN,2,0,16.0,1.0,1.5,0.667,0.0,0.0,,1.0,1.5,0.667,0.667,0.0,0.0,,0.5,1.5,2.0,3.5,0.0,0.0,2.0,2.0,2.0,2005-2006,False
Desmon Farmer,129,SG,27,SAS,3,0,18.0,1.3,4.7,0.286,1.0,4.0,0.25,0.3,0.7,0.5,0.393,0.7,0.7,1.0,0.0,2.0,2.0,0.7,0.0,0.0,1.3,2.0,4.3,2008-2009,False
Desmond Bane,28,SF,23,MEM,76,76,29.8,6.7,14.5,0.461,3.0,6.9,0.436,3.7,7.6,0.484,0.565,1.8,2.0,0.903,0.6,3.8,4.4,2.7,1.2,0.4,1.5,2.6,18.2,2021-2022,False
Desmond Ferguson,126,SF,26,POR,7,0,4.6,0.7,1.7,0.417,0.4,1.1,0.375,0.3,0.6,0.5,0.542,0.0,0.3,0.0,0.0,0.6,0.6,0.1,0.0,0.0,0.1,0.0,1.9,2003-2004,False
Desmond Mason,271,SF,32,SAC,5,4,13.2,1.0,2.4,0.417,0.0,0.0,0.0,1.0,2.4,0.417,0.417,0.6,0.8,0.75,0.8,1.8,2.6,0.4,0.2,0.2,0.8,1.0,2.6,2009-2010,False
Desmond Penigar,318,PF,22,ORL,10,0,8.9,1.4,2.8,0.5,0.0,0.0,,1.4,2.8,0.5,0.5,0.4,0.4,1.0,0.6,1.8,2.4,0.3,0.2,0.2,0.6,1.4,3.2,2003-2004,False
Detlef Schrempf,363,SF,38,POR,26,0,15.3,1.5,3.7,0.411,0.1,0.3,0.375,1.4,3.3,0.414,0.426,0.9,1.0,0.852,0.7,2.3,3.0,1.7,0.3,0.1,1.1,1.7,4.0,2000-2001,False
Devean George,152,SF,32,GSW,45,4,16.9,2.0,4.6,0.432,1.1,2.7,0.39,0.9,1.8,0.494,0.549,0.4,0.5,0.696,0.5,2.1,2.5,0.7,0.9,0.2,0.3,2.0,5.4,2009-2010,False
Devin Brown,65,SG,31,TOT,50,37,21.2,2.7,7.2,0.377,1.2,3.3,0.354,1.6,3.9,0.396,0.457,1.4,1.7,0.802,0.6,1.9,2.5,1.3,0.7,0.1,1.2,1.4,8.0,2009-2010,False
